Line,Station Number,Station Name
H,1,中目黒
H,2,恵比寿
H,3,広尾
H,4,六本木
H,5,神谷町
H,6,虎ノ門ヒルズ
H,7,霞ケ関
H,8,日比谷
H,9,銀座
H,10,東銀座
H,11,築地
H,12,八丁堀
H,13,茅場町
H,14,人形町
H,15,小伝馬町
H,16,秋葉原
H,17,仲御徒町
H,18,上野
H,19,入谷
H,20,三ノ輪
H,21,南千住
H,22,北千住
