Line,Station Number,Station Name
G,1,渋谷
G,2,表参道
G,3,外苑前
G,4,青山一丁目
G,5,赤坂見附
G,6,溜池山王
G,7,虎ノ門
G,8,新橋
G,9,銀座
G,10,京橋
G,11,日本橋
G,12,三越前
G,13,神田
G,14,末広町
G,15,上野広小路
G,16,上野
G,17,稲荷町
G,18,田原町
G,19,浅草
