Line,Station Number,Station Name
C,1,代々木上原
C,2,代々木公園
C,3,明治神宮前
C,4,表参道
C,5,乃木坂
C,6,赤坂
C,7,国会議事堂前
C,8,霞ケ関
C,9,日比谷
C,10,二重橋前
C,11,大手町
C,12,新御茶ノ水
C,13,湯島
C,14,根津
C,15,千駄木
C,16,西日暮里
C,17,町屋
C,18,北千住
C,19,綾瀬
C,20,北綾瀬
