Line,Station Number,Station Name
I,1,目黒
I,2,白金台
I,3,白金高輪
I,4,三田
I,5,芝公園
I,6,御成門
I,7,内幸町
I,8,日比谷
I,9,大手町
I,10,神保町
I,11,水道橋
I,12,春日
I,13,白山
I,14,千石
I,15,巣鴨
I,16,西巣鴨
I,17,新板橋
I,18,板橋区役所前
I,19,板橋本町
I,20,本蓮沼
I,21,志村坂上
I,22,志村三丁目
I,23,蓮根
I,24,西台
I,25,高島平
I,26,新高島平
I,27,西高島平
